date,headline,positive,neutral,negative,compound
2025-07-17,"Wall Street’s AI Bubble Is Worse Than the 1999 Dot-com Bubble, Warns a Top Economist",0.0010841990588232875,0.0012048672651872039,0.9977109432220459,-0.9966267347335815
2025-07-08,"Stock market today: Dow, S&P 500, Nasdaq futures waver as Trump ratchets up trade tensions",0.0005662290495820343,0.0021603151690214872,0.9972733855247498,-0.9967071413993835
2025-07-07,The stock market's biggest bet is setting investors up for a smackdown,0.0009301429963670671,0.9635669589042664,0.03550279885530472,-0.03457265719771385
2025-07-28,4 Must-Buy Stocks as S&P 500 Continues to Reach New Milestones,0.9980923533439636,0.0016489315312355757,0.00025875656865537167,0.9978336095809937
2025-07-07,"Stock market today: Dow, S&P 500, Nasdaq futures fall as Trump warns of 10% BRICS tariff, deals deadline looms",0.0004082490049768239,0.002614694181829691,0.9969770908355713,-0.9965688586235046
2025-07-19,"Stocks just hit a 'line of death' last reached at the peak of the dot-com bubble, veteran investor Bill Smead warns",0.008083829656243324,0.3013395369052887,0.6905767321586609,-0.6824929118156433
2025-07-07,The End of the Stock Market As We Know It,4.339273800724186e-05,0.9998685121536255,8.809723658487201e-05,-4.470449857763015e-05
2025-08-01,Stock markets drop as Trump unleashes new round of global tariffs,0.000500770634971559,0.001681170193478465,0.9978179931640625,-0.9973171949386597
2025-07-29,Top Dividend Stocks To Consider In July 2025,7.658908725716174e-05,0.999826967716217,9.637034963816404e-05,-1.9781262381002307e-05
2025-07-07,3 Dividend Stocks To Consider With Up To 7.2% Yield,8.346183312823996e-05,0.9998481273651123,6.84038459439762e-05,1.5057987184263766e-05
2025-07-25,"Novice investors are told to stick with ETFs, but one market legend makes the case for stock-picking",7.590221503050998e-05,0.9998476505279541,7.64536889619194e-05,-5.514739314094186e-07
2025-07-10,"Rigetti Computing, Inc. (RGTI) Stock Declines While Market Improves: Some Information for Investors",0.0006565088988281786,0.0013137906789779663,0.9980296492576599,-0.9973731637001038
2025-07-21,"SoundHound AI, Inc. (SOUN) Stock Drops Despite Market Gains: Important Facts to Note",0.0006204710807651281,0.000950329820625484,0.9984292387962341,-0.9978087544441223
